Term,Type
"\d{1,3}(,\d{3})*(\.\d{2})?\s?(EUR|USD|Kč|£)",Regex
\d{3}-\d{3}-\d{3}|\d{4}\s\d{3}\s\d{3},Regex
"[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}",Regex
"(\d{1,5}\s\w+\s\w+|\w+\s\d{1,5})",Regex
P\.?O\.?\sBox\s\d+,Regex
"\d{1,3}(,\d{3})*(\.\d{2})?\s?(EUR|USD|Kč|£)",Regex
\d{3}-\d{3}-\d{3}|\d{4}\s\d{3}\s\d{3},Regex
"[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}",Regex
"(\d{1,5}\s\w+\s\w+|\w+\s\d{1,5})",Regex
P\.?O\.?\sBox\s\d+,Regex
"\d{1,3}(,\d{3})*(\.\d{2})?\s?(EUR|USD|Kč|£)",Regex
\d{3}-\d{3}-\d{3}|\d{4}\s\d{3}\s\d{3},Regex
"[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}",Regex
"(\d{1,5}\s\w+\s\w+|\w+\s\d{1,5})",Regex
P\.?O\.?\sBox\s\d+,Regex
"\d{1,3}(,\d{3})*(\.\d{2})?\s?(EUR|USD|Kč|£)",Regex
\d{3}-\d{3}-\d{3}|\d{4}\s\d{3}\s\d{3},Regex
"[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}",Regex
"(\d{1,5}\s\w+\s\w+|\w+\s\d{1,5})",Regex
P\.?O\.?\sBox\s\d+,Regex
Plat,ExactMatch
Telefónne číslo,ExactMatch
E-mail,ExactMatch
Adresa,ExactMatch
Salary,ExactMatch
Phone Number,ExactMatch
Email,ExactMatch
Address,ExactMatch
Gehalt,ExactMatch
Telefonnummer,ExactMatch
E-Mail,ExactMatch
Adresse,ExactMatch
Salaire,ExactMatch
Numéro de téléphone,ExactMatch
E-mail,ExactMatch
Adresse,ExactMatch
